frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,post_scene_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,execute_executor_setup_ms,execute_completed_gpu_timing_readback_ms,execute_timing_setup_ms,execute_per_frame_lookup_ms,execute_swapchain_acquire_ms,execute_deferred_prepare_ms,execute_task_plan_launch_ms,execute_primary_record_before_collect_ms,execute_record_completion_wait_ms,execute_primary_replay_barrier_timestamp_ms,execute_primary_end_and_submit_build_ms,execute_queue_submit_ms,execute_initial_release_record_submit_ms,execute_synthetic_present_record_submit_ms,execute_finalization_ms,execute_accounted_main_thread_ms,execute_unclassified_ms,execute_compiled_batches,execute_acquire_batches,execute_record_tasks,execute_replayed_secondary_command_buffers,execute_queue_submits,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
610,1,1,1920,1080,640,360,ultra-performance,0.001900000,0.027200000,0.172400000,0.599600000,0.014400000,0.106100000,0.860500000,0.163300000,2.107700000,2.105800000,1.945400000,0.162300000,0.004600000,0.021300000,0.011100000,0.134700000,0.160500000,0.160600000,0.080500000,0.004000000,0.512800000,84,0,103,3,7,0.001400000,0.002700000,0.001100000,0.003800000,0.004700000,0.001200000,0.587500000,0.025400000,0.048200000,0.019600000,0.008600000,0.141900000,0.000100000,0.000000000,0.006000000,0.852200000,0.008300000,3,1,7,7,3,,0.194600000,0.004800000,0.211400000,0.053700000,0.012600000,0.035100000,true,true,0.028000000,0.104700000,0.008500000,0.021200000,0.017600000,103,103,0
611,2,1,1920,1080,640,360,ultra-performance,0.001700000,0.026100000,0.165900000,0.560000000,0.017000000,0.109600000,0.812800000,0.166700000,2.017600000,2.015900000,1.859800000,0.157800000,0.003200000,0.018300000,0.010800000,0.133100000,0.155900000,0.156000000,0.054200000,0.002700000,0.495900000,84,0,103,3,7,0.001800000,0.003000000,0.001500000,0.003800000,0.004300000,0.000900000,0.581500000,0.019100000,0.073300000,0.010700000,0.004900000,0.093900000,0.000000000,0.000000000,0.006000000,0.804700000,0.008100000,3,1,7,7,3,,0.138500000,0.003900000,0.251500000,0.049800000,0.014700000,0.036900000,true,true,0.018300000,0.097900000,0.008800000,0.003300000,0.007200000,103,103,0
612,0,1,1920,1080,640,360,ultra-performance,0.002100000,0.032900000,0.208500000,0.554700000,0.015100000,0.102300000,0.679400000,0.186100000,1.940300000,1.938200000,1.781100000,0.159200000,0.003900000,0.024500000,0.012600000,0.167000000,0.153400000,0.153600000,0.055900000,0.002700000,0.494300000,84,0,103,3,7,0.001100000,0.002700000,0.001000000,0.003400000,0.002500000,0.000400000,0.523000000,0.012000000,0.033100000,0.006600000,0.003700000,0.082600000,0.000000000,0.000000000,0.003400000,0.675500000,0.003900000,3,1,7,7,3,,0.184100000,0.003700000,0.213200000,0.046900000,0.011500000,0.034000000,true,true,0.016700000,0.133500000,0.011200000,0.004100000,0.011700000,103,103,0
613,1,1,1920,1080,640,360,ultra-performance,0.002100000,0.021400000,0.174300000,0.460800000,0.011500000,0.097100000,0.604500000,0.158100000,1.709800000,1.707700000,1.529800000,0.180000000,0.003500000,0.018300000,0.011700000,0.140200000,0.178700000,0.178800000,0.054500000,0.002600000,0.402000000,84,0,103,3,7,0.001100000,0.002500000,0.001200000,0.003400000,0.002200000,0.000300000,0.485200000,0.015600000,0.005200000,0.006800000,0.003500000,0.070200000,0.000000000,0.000000000,0.003600000,0.600800000,0.003700000,3,1,7,7,3,,0.133800000,0.002800000,0.180800000,0.040600000,0.010600000,0.032700000,true,true,0.017200000,0.097500000,0.006300000,0.003400000,0.006400000,103,103,0
614,2,1,1920,1080,640,360,ultra-performance,0.001800000,0.019600000,0.168600000,0.454400000,0.011700000,0.099900000,0.833800000,0.237000000,2.004400000,2.002600000,1.826800000,0.177600000,0.002800000,0.016100000,0.011000000,0.138200000,0.175600000,0.175700000,0.052900000,0.002000000,0.397600000,84,0,103,3,7,0.001100000,0.002500000,0.001000000,0.003200000,0.004900000,0.001100000,0.466000000,0.019100000,0.117900000,0.011900000,0.005700000,0.183900000,0.000000000,0.000000000,0.008300000,0.826600000,0.007200000,3,1,7,7,3,,0.132000000,0.002900000,0.178600000,0.039700000,0.010400000,0.033400000,true,true,0.016500000,0.096300000,0.007100000,0.003100000,0.006100000,103,103,0
615,0,1,1920,1080,640,360,ultra-performance,0.001600000,0.020100000,0.193300000,0.469300000,0.012500000,0.094900000,0.811200000,0.178400000,1.957700000,1.956100000,1.781300000,0.176400000,0.003200000,0.017500000,0.010400000,0.161700000,0.174300000,0.174500000,0.055600000,0.001800000,0.408400000,84,0,103,3,7,0.001500000,0.003800000,0.001400000,0.005100000,0.003600000,0.001100000,0.577700000,0.021600000,0.038900000,0.013200000,0.005500000,0.123500000,0.000000000,0.000000000,0.007800000,0.804700000,0.006500000,3,1,7,7,3,,0.142100000,0.002700000,0.179000000,0.038800000,0.010200000,0.035000000,true,true,0.017000000,0.107500000,0.006500000,0.002400000,0.006000000,103,103,0
616,1,1,1920,1080,640,360,ultra-performance,0.001800000,0.017600000,0.189100000,0.516700000,0.011400000,0.099400000,0.921700000,0.263200000,2.192300000,2.190500000,2.020900000,0.171400000,0.003100000,0.017000000,0.010700000,0.157800000,0.167800000,0.167900000,0.061900000,0.002100000,0.450700000,84,0,103,3,7,0.001100000,0.002500000,0.001100000,0.003700000,0.004600000,0.001300000,0.651700000,0.025000000,0.034500000,0.015300000,0.006700000,0.150100000,0.000000000,0.000000000,0.011500000,0.909100000,0.012600000,3,1,7,7,3,,0.179000000,0.003400000,0.180700000,0.044200000,0.010900000,0.032100000,true,true,0.016900000,0.137100000,0.008000000,0.004200000,0.009100000,103,103,0
617,2,1,1920,1080,640,360,ultra-performance,0.002200000,0.017000000,0.180200000,0.460500000,0.011600000,0.098700000,0.754500000,0.149700000,1.850000000,1.847800000,1.674400000,0.175600000,0.003100000,0.019100000,0.014200000,0.143500000,0.174000000,0.174200000,0.055000000,0.002100000,0.401700000,84,0,103,3,7,0.001100000,0.002400000,0.000900000,0.003100000,0.002700000,0.000400000,0.529500000,0.013900000,0.079100000,0.009900000,0.004300000,0.099300000,0.000100000,0.000000000,0.003500000,0.750200000,0.004300000,3,1,7,7,3,,0.133500000,0.003000000,0.182500000,0.039900000,0.010300000,0.032200000,true,true,0.016600000,0.098800000,0.006500000,0.002600000,0.006000000,103,103,0
618,0,1,1920,1080,640,360,ultra-performance,0.001600000,0.013900000,0.166500000,0.488200000,0.012400000,0.102000000,0.772500000,0.234600000,1.969400000,1.967800000,1.791700000,0.177700000,0.002700000,0.016000000,0.009300000,0.138200000,0.176700000,0.176800000,0.054900000,0.002100000,0.429300000,84,0,103,3,7,0.001100000,0.002400000,0.001100000,0.003700000,0.003700000,0.000900000,0.575200000,0.017800000,0.041000000,0.010900000,0.005100000,0.100200000,0.000100000,0.000000000,0.003900000,0.767100000,0.005400000,3,1,7,7,3,,0.131600000,0.003100000,0.200600000,0.049500000,0.010800000,0.033100000,true,true,0.016600000,0.096200000,0.006200000,0.002900000,0.006500000,103,103,0
619,1,1,1920,1080,640,360,ultra-performance,0.001700000,0.023200000,0.241800000,0.492700000,0.011900000,0.110300000,0.686200000,0.160400000,1.898100000,1.896400000,1.728200000,0.169900000,0.003200000,0.016100000,0.009400000,0.212600000,0.167900000,0.168100000,0.057100000,0.002500000,0.431200000,84,0,103,3,7,0.001200000,0.002600000,0.001000000,0.003400000,0.003100000,0.000600000,0.516700000,0.017200000,0.021500000,0.009500000,0.004400000,0.094100000,0.000000000,0.000000000,0.005100000,0.680400000,0.005800000,3,1,7,7,3,,0.153600000,0.003400000,0.184800000,0.045100000,0.010700000,0.032800000,true,true,0.017200000,0.095800000,0.020000000,0.004700000,0.009000000,103,103,0
