frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,post_scene_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,execute_executor_setup_ms,execute_completed_gpu_timing_readback_ms,execute_timing_setup_ms,execute_per_frame_lookup_ms,execute_swapchain_acquire_ms,execute_deferred_prepare_ms,execute_task_plan_launch_ms,execute_primary_record_before_collect_ms,execute_record_completion_wait_ms,execute_primary_replay_barrier_timestamp_ms,execute_primary_end_and_submit_build_ms,execute_queue_submit_ms,execute_initial_release_record_submit_ms,execute_synthetic_present_record_submit_ms,execute_finalization_ms,execute_accounted_main_thread_ms,execute_unclassified_ms,execute_compiled_batches,execute_acquire_batches,execute_record_tasks,execute_replayed_secondary_command_buffers,execute_queue_submits,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
600,0,1,1920,1080,640,360,ultra-performance,0.003200000,0.043700000,0.181400000,0.648000000,0.017300000,0.132500000,0.956300000,0.182900000,2.321700000,2.318500000,2.165300000,0.156400000,0.006600000,0.018600000,0.011400000,0.143900000,0.154800000,0.155200000,0.067800000,0.005500000,0.572900000,84,0,103,3,7,0.001500000,0.004100000,0.001300000,0.004000000,0.007600000,0.001600000,0.679100000,0.024000000,0.070200000,0.016300000,0.009000000,0.127100000,0.000200000,0.000000000,0.003300000,0.949300000,0.007000000,3,1,7,7,3,,0.226300000,0.006400000,0.202200000,0.076600000,0.013600000,0.047100000,true,true,0.036100000,0.156100000,0.011300000,0.005500000,0.012400000,103,103,0
601,1,1,1920,1080,640,360,ultra-performance,0.002300000,0.043400000,0.215500000,0.537900000,0.019500000,0.155900000,0.766900000,0.162000000,2.064600000,2.062300000,1.903400000,0.161200000,0.005700000,0.020900000,0.012700000,0.175100000,0.159800000,0.160100000,0.053700000,0.004100000,0.477900000,84,0,103,3,7,0.001300000,0.003700000,0.001900000,0.003400000,0.002600000,0.000500000,0.507500000,0.021300000,0.127000000,0.008700000,0.004000000,0.076800000,0.000200000,0.000000000,0.003400000,0.762300000,0.004600000,3,1,7,7,3,,0.155100000,0.004300000,0.187700000,0.059600000,0.014100000,0.056200000,true,true,0.024000000,0.108500000,0.007600000,0.004900000,0.007200000,103,103,0
602,2,1,1920,1080,640,360,ultra-performance,0.001800000,0.027200000,0.200900000,0.511900000,0.016000000,0.119500000,0.897900000,0.410100000,2.406200000,2.404400000,2.185300000,0.220900000,0.003300000,0.016600000,0.009600000,0.170700000,0.218200000,0.218400000,0.053600000,0.003100000,0.453300000,84,0,103,3,7,0.001500000,0.003600000,0.001200000,0.003400000,0.005600000,0.001400000,0.506900000,0.029200000,0.139500000,0.019200000,0.007700000,0.160300000,0.000200000,0.000000000,0.007500000,0.887200000,0.010700000,3,1,7,7,3,,0.138300000,0.004000000,0.198800000,0.065300000,0.012700000,0.033400000,true,true,0.020200000,0.094700000,0.007900000,0.005300000,0.007200000,103,103,0
603,0,1,1920,1080,640,360,ultra-performance,0.004400000,0.044300000,0.202800000,0.590200000,0.016700000,0.119000000,1.050700000,0.199100000,2.421300000,2.416900000,2.227200000,0.194100000,0.006100000,0.026900000,0.012400000,0.156600000,0.174700000,0.174800000,0.074900000,0.003600000,0.509800000,84,0,103,3,7,0.001300000,0.003400000,0.001700000,0.004100000,0.010100000,0.001800000,0.663900000,0.033500000,0.105400000,0.020300000,0.009100000,0.181300000,0.000200000,0.000000000,0.004300000,1.040400000,0.010300000,3,1,7,7,3,,0.176100000,0.004100000,0.209400000,0.069000000,0.012900000,0.037800000,true,true,0.027100000,0.123700000,0.009500000,0.004200000,0.008700000,103,103,0
604,1,1,1920,1080,640,360,ultra-performance,0.001800000,0.025600000,0.176800000,0.523800000,0.014700000,0.122300000,0.645900000,0.244500000,1.913400000,1.911600000,1.755400000,0.158000000,0.004100000,0.019600000,0.011100000,0.141200000,0.156000000,0.156300000,0.066100000,0.003300000,0.452400000,84,0,103,3,7,0.001600000,0.003600000,0.001100000,0.002900000,0.004200000,0.000800000,0.475000000,0.020400000,0.025100000,0.011100000,0.005300000,0.082500000,0.000100000,0.000000000,0.005200000,0.638900000,0.007000000,3,1,7,7,3,,0.143100000,0.003600000,0.199600000,0.057900000,0.012800000,0.034800000,true,true,0.020100000,0.099000000,0.008200000,0.004900000,0.008100000,103,103,0
605,2,1,1920,1080,640,360,ultra-performance,0.002200000,0.029400000,0.209700000,0.535300000,0.016000000,0.116600000,1.063000000,0.431400000,2.586000000,2.583800000,2.403600000,0.182400000,0.004700000,0.023900000,0.010400000,0.169700000,0.179400000,0.179600000,0.065000000,0.003400000,0.464900000,84,0,103,3,7,0.001300000,0.003000000,0.001400000,0.003600000,0.006100000,0.001500000,0.597200000,0.031500000,0.159300000,0.019800000,0.009100000,0.208500000,0.000100000,0.000000000,0.008900000,1.051300000,0.011700000,3,1,7,7,3,,0.151300000,0.003600000,0.204600000,0.054400000,0.013100000,0.037000000,true,true,0.022900000,0.104700000,0.008700000,0.003700000,0.008400000,103,103,0
606,0,1,1920,1080,640,360,ultra-performance,0.001900000,0.028200000,0.216500000,0.646500000,0.015300000,0.114500000,0.780500000,0.222000000,2.324300000,2.322400000,2.025400000,0.298900000,0.005000000,0.021800000,0.010900000,0.177900000,0.297100000,0.297500000,0.099800000,0.003800000,0.540900000,84,0,103,3,7,0.001300000,0.003100000,0.001200000,0.004200000,0.004100000,0.000900000,0.476700000,0.024000000,0.125800000,0.011000000,0.004700000,0.112300000,0.000100000,0.000000000,0.004100000,0.773500000,0.007000000,3,1,7,7,3,,0.236200000,0.003700000,0.197700000,0.053800000,0.012600000,0.036200000,true,true,0.033600000,0.171500000,0.011500000,0.004400000,0.011400000,103,103,0
607,1,1,1920,1080,640,360,ultra-performance,0.002500000,0.035300000,0.288800000,0.747900000,0.018400000,0.148300000,0.805100000,0.222500000,2.547800000,2.545300000,2.268800000,0.279000000,0.004600000,0.027000000,0.022300000,0.234000000,0.277200000,0.277400000,0.088900000,0.003700000,0.652600000,84,0,103,3,7,0.001800000,0.003800000,0.001700000,0.003900000,0.003300000,0.000400000,0.580400000,0.020300000,0.052100000,0.009400000,0.005200000,0.112200000,0.000000000,0.000000000,0.003800000,0.798300000,0.006800000,3,1,7,7,3,,0.228800000,0.004700000,0.285300000,0.063400000,0.016200000,0.053400000,true,true,0.026700000,0.173800000,0.010000000,0.004300000,0.009800000,103,103,0
608,2,1,1920,1080,640,360,ultra-performance,0.001900000,0.031800000,0.273100000,0.725600000,0.016800000,0.137800000,0.815000000,0.208700000,2.494400000,2.492500000,2.210700000,0.283700000,0.003900000,0.024300000,0.013700000,0.230400000,0.282100000,0.282300000,0.088500000,0.003300000,0.631400000,84,0,103,3,7,0.001900000,0.003300000,0.001400000,0.004300000,0.002300000,0.000600000,0.465100000,0.020900000,0.064900000,0.008700000,0.004700000,0.228500000,0.000000000,0.000000000,0.004100000,0.810700000,0.004300000,3,1,7,7,3,,0.210800000,0.004900000,0.290700000,0.057800000,0.015100000,0.051600000,true,true,0.026500000,0.156600000,0.010100000,0.004100000,0.009200000,103,103,0
609,0,1,1920,1080,640,360,ultra-performance,0.001900000,0.025500000,0.186900000,0.487400000,0.014500000,0.106700000,0.682700000,0.234300000,1.929200000,1.927300000,1.739900000,0.189300000,0.003900000,0.020300000,0.014000000,0.148300000,0.187600000,0.187800000,0.055500000,0.002400000,0.427700000,84,0,103,3,7,0.001300000,0.002700000,0.001300000,0.003800000,0.003400000,0.000600000,0.476100000,0.022000000,0.046500000,0.010100000,0.012000000,0.093900000,0.000100000,0.000000000,0.003900000,0.677700000,0.005000000,3,1,7,7,3,,0.139300000,0.003600000,0.188600000,0.049600000,0.011900000,0.034300000,true,true,0.018500000,0.099500000,0.007500000,0.003700000,0.007200000,103,103,0
