frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,post_scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,skeleton_patch_ms,skeleton_rebuild_ms,skeleton_hit,skeleton_miss_reason,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,execute_executor_setup_ms,execute_completed_gpu_timing_readback_ms,execute_timing_setup_ms,execute_per_frame_lookup_ms,execute_swapchain_acquire_ms,execute_deferred_prepare_ms,execute_task_plan_launch_ms,execute_primary_record_before_collect_ms,execute_record_completion_wait_ms,execute_primary_replay_barrier_timestamp_ms,execute_primary_end_and_submit_build_ms,execute_queue_submit_ms,execute_initial_release_record_submit_ms,execute_synthetic_present_record_submit_ms,execute_finalization_ms,execute_accounted_main_thread_ms,execute_unclassified_ms,execute_compiled_batches,execute_acquire_batches,execute_record_tasks,execute_replayed_secondary_command_buffers,execute_queue_submits,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
610,1,1,1920,1080,640,360,ultra-performance,0.696900000,0.022200000,0.179800000,0.003200000,0.265700000,0.024400000,0.124500000,0.608700000,0.154200000,2.081000000,1.384100000,2.079600000,0.001400000,0.003700000,0.019100000,0.009900000,0.146800000,0.003000000,0.052100000,0.002300000,0.208800000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004300000,0.002800000,0.001300000,0.007200000,0.002500000,0.000600000,0.326400000,0.015400000,0.134600000,0.009100000,0.004700000,0.074300000,0.000100000,0.000000000,0.013400000,0.596700000,0.012000000,3,1,7,7,3,0.088300000,0.004000000,0.037200000,0.049000000,0.013000000,0.007900000,true,true,0.017800000,0.019600000,0.001300000,0.003600000,0.039800000,103,103,0
611,2,1,1920,1080,640,360,ultra-performance,1.053600000,0.058600000,0.410000000,0.006100000,0.580700000,0.047400000,0.127900000,0.713800000,0.157400000,3.156800000,2.103200000,3.155500000,0.001300000,0.008200000,0.042600000,0.028900000,0.329100000,0.005500000,0.114900000,0.004800000,0.456000000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.005700000,0.003000000,0.001200000,0.006900000,0.002400000,0.000600000,0.391100000,0.011900000,0.188800000,0.007200000,0.003300000,0.071300000,0.000100000,0.000000000,0.012000000,0.705500000,0.008300000,3,1,7,7,3,0.189900000,0.008400000,0.093000000,0.102500000,0.026100000,0.017000000,true,true,0.038700000,0.042900000,0.002100000,0.007800000,0.085200000,103,103,0
612,0,1,1920,1080,640,360,ultra-performance,0.001800000,0.018100000,0.175200000,0.003100000,0.263700000,0.023700000,0.120200000,0.572200000,0.157800000,1.342000000,1.340200000,1.335800000,0.006200000,0.003100000,0.017900000,0.009900000,0.143800000,0.002800000,0.059600000,0.002100000,0.199800000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004400000,0.002900000,0.001200000,0.007000000,0.002700000,0.000600000,0.309000000,0.014500000,0.118900000,0.008700000,0.004500000,0.076900000,0.000100000,0.000000000,0.012800000,0.564200000,0.008000000,3,1,7,7,3,0.086700000,0.003900000,0.035500000,0.045200000,0.011600000,0.007600000,true,true,0.018000000,0.019500000,0.001200000,0.003400000,0.038600000,103,103,0
613,1,1,1920,1080,640,360,ultra-performance,0.899200000,0.021600000,0.178700000,0.002600000,0.256000000,0.023600000,0.119100000,0.648700000,0.153100000,2.303600000,1.404400000,2.302600000,0.001000000,0.003700000,0.018500000,0.009800000,0.146300000,0.002300000,0.051000000,0.002200000,0.200500000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004300000,0.002700000,0.001300000,0.006400000,0.002500000,0.000300000,0.329700000,0.011900000,0.183700000,0.008900000,0.004600000,0.069000000,0.000100000,0.000000000,0.012700000,0.638100000,0.010600000,3,1,7,7,3,0.086000000,0.003800000,0.035700000,0.047200000,0.011500000,0.007400000,true,true,0.017400000,0.019200000,0.001300000,0.003800000,0.038300000,103,103,0
614,2,1,1920,1080,640,360,ultra-performance,1.074600000,0.023200000,0.178200000,0.002600000,0.258100000,0.023600000,0.127700000,0.504400000,0.159400000,2.352900000,1.278300000,2.351800000,0.001100000,0.003700000,0.018500000,0.009800000,0.145700000,0.002200000,0.051100000,0.002400000,0.202200000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004900000,0.002800000,0.001100000,0.006300000,0.002600000,0.000600000,0.307500000,0.014900000,0.052700000,0.009300000,0.004600000,0.073200000,0.000100000,0.000000000,0.012400000,0.493000000,0.011400000,3,1,7,7,3,0.087800000,0.003800000,0.035500000,0.047000000,0.011400000,0.007600000,true,true,0.018000000,0.019400000,0.002100000,0.003600000,0.038800000,103,103,0
615,0,1,1920,1080,640,360,ultra-performance,0.687400000,0.015000000,0.178900000,0.002900000,0.242600000,0.023100000,0.110500000,0.723100000,0.341400000,2.327500000,1.640100000,2.324900000,0.002600000,0.002900000,0.016500000,0.010000000,0.149000000,0.002600000,0.051000000,0.002300000,0.187000000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.005500000,0.002200000,0.001100000,0.007000000,0.004600000,0.000900000,0.382500000,0.018800000,0.098100000,0.016300000,0.009100000,0.133900000,0.000100000,0.000000000,0.026900000,0.707000000,0.016100000,3,1,7,7,3,0.084400000,0.003300000,0.034000000,0.039700000,0.010900000,0.006700000,true,true,0.017500000,0.018900000,0.001200000,0.002800000,0.038100000,103,103,0
616,1,1,1920,1080,640,360,ultra-performance,0.624600000,0.023700000,0.176800000,0.003300000,0.260200000,0.024200000,0.119800000,0.556700000,0.151800000,1.942600000,1.318000000,1.941100000,0.001500000,0.003900000,0.018800000,0.010100000,0.143400000,0.003100000,0.051200000,0.002200000,0.204400000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004800000,0.002900000,0.001200000,0.015200000,0.002400000,0.000700000,0.353400000,0.013400000,0.053200000,0.008600000,0.003800000,0.067500000,0.000000000,0.000000000,0.012600000,0.539700000,0.017000000,3,1,7,7,3,0.087900000,0.003700000,0.036200000,0.047600000,0.012100000,0.007600000,true,true,0.018000000,0.019400000,0.001500000,0.003500000,0.039500000,103,103,0
617,2,1,1920,1080,640,360,ultra-performance,0.649900000,0.020000000,0.193600000,0.002900000,0.264000000,0.024100000,0.120500000,0.578000000,0.163100000,2.017500000,1.367600000,2.016100000,0.001400000,0.003200000,0.019000000,0.009900000,0.160900000,0.002600000,0.054400000,0.002200000,0.205000000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004900000,0.003000000,0.001300000,0.006800000,0.002400000,0.000400000,0.349400000,0.012000000,0.098000000,0.007400000,0.003200000,0.069300000,0.000100000,0.000000000,0.012100000,0.570300000,0.007700000,3,1,7,7,3,0.087800000,0.003800000,0.037100000,0.047600000,0.012200000,0.007700000,true,true,0.018000000,0.020300000,0.001300000,0.003500000,0.038900000,103,103,0
618,0,1,1920,1080,640,360,ultra-performance,0.994600000,0.022600000,0.175700000,0.002800000,0.257600000,0.022900000,0.117700000,0.799300000,0.154900000,2.549400000,1.554800000,2.548100000,0.001300000,0.003700000,0.018500000,0.009600000,0.143300000,0.002400000,0.051500000,0.002100000,0.201600000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004200000,0.002700000,0.001200000,0.006600000,0.005000000,0.001200000,0.483200000,0.021700000,0.092800000,0.017900000,0.006900000,0.129900000,0.000000000,0.000000000,0.013200000,0.786500000,0.012800000,3,1,7,7,3,0.087200000,0.003700000,0.035200000,0.046800000,0.012000000,0.007600000,true,true,0.017900000,0.019800000,0.001200000,0.003700000,0.038700000,103,103,0
619,1,1,1920,1080,640,360,ultra-performance,0.402200000,0.017400000,0.175100000,0.002800000,0.249500000,0.022400000,0.127100000,0.919200000,0.157200000,2.074300000,1.672100000,2.072900000,0.001400000,0.003100000,0.017200000,0.009800000,0.144700000,0.002500000,0.050600000,0.002000000,0.194700000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004700000,0.002700000,0.001100000,0.006800000,0.007700000,0.001600000,0.435100000,0.017500000,0.186000000,0.015000000,0.009200000,0.204000000,0.000000000,0.000000000,0.013100000,0.904500000,0.014700000,3,1,7,7,3,0.085400000,0.003700000,0.035300000,0.043700000,0.011400000,0.007200000,true,true,0.017800000,0.019100000,0.001200000,0.003400000,0.038100000,103,103,0
620,2,1,1920,1080,640,360,ultra-performance,0.628400000,0.023000000,0.185100000,0.003000000,0.262800000,0.023600000,0.119600000,0.544100000,0.150800000,1.941600000,1.313200000,1.940400000,0.001200000,0.003800000,0.025900000,0.010500000,0.144500000,0.002600000,0.051700000,0.002400000,0.206500000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.005700000,0.002800000,0.001200000,0.006600000,0.002300000,0.000400000,0.381600000,0.011700000,0.024900000,0.009100000,0.004700000,0.071000000,0.000000000,0.000000000,0.012400000,0.534400000,0.009700000,3,1,7,7,3,0.088600000,0.003700000,0.036700000,0.048100000,0.011500000,0.008000000,true,true,0.017300000,0.019600000,0.002400000,0.003800000,0.039400000,103,103,0
621,0,1,1920,1080,640,360,ultra-performance,0.554100000,0.017500000,0.175000000,0.002900000,0.247400000,0.022500000,0.114400000,0.670600000,0.152400000,1.962300000,1.408200000,1.956800000,0.005500000,0.003000000,0.017400000,0.009600000,0.144400000,0.002700000,0.051400000,0.002000000,0.191800000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.005000000,0.002400000,0.001200000,0.006600000,0.003300000,0.000600000,0.396700000,0.015600000,0.133000000,0.009900000,0.005400000,0.070300000,0.000000000,0.000000000,0.012400000,0.662400000,0.008200000,3,1,7,7,3,0.084600000,0.003600000,0.034500000,0.042900000,0.011000000,0.006900000,true,true,0.017400000,0.019000000,0.001200000,0.003600000,0.037800000,103,103,0
622,1,1,1920,1080,640,360,ultra-performance,0.874700000,0.019400000,0.183300000,0.003100000,0.253600000,0.022800000,0.118600000,0.583800000,0.160200000,2.220900000,1.346200000,2.219500000,0.001400000,0.003000000,0.018000000,0.010000000,0.152000000,0.002900000,0.051100000,0.002200000,0.198000000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004500000,0.002700000,0.001200000,0.006700000,0.002400000,0.000600000,0.330400000,0.012500000,0.127500000,0.006600000,0.003300000,0.064000000,0.000000000,0.000000000,0.012400000,0.574800000,0.009000000,3,1,7,7,3,0.086600000,0.003700000,0.035200000,0.045000000,0.011500000,0.007300000,true,true,0.018000000,0.019300000,0.001500000,0.003700000,0.038200000,103,103,0
623,2,1,1920,1080,640,360,ultra-performance,0.654700000,0.038000000,0.399800000,0.007100000,0.376700000,0.023300000,0.121700000,0.492600000,0.155000000,2.270300000,1.615600000,2.268900000,0.001400000,0.006800000,0.038700000,0.022000000,0.331400000,0.006500000,0.117200000,0.004700000,0.252300000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004600000,0.002800000,0.001200000,0.006900000,0.002400000,0.000400000,0.318500000,0.011500000,0.039700000,0.007300000,0.004200000,0.068200000,0.000100000,0.000000000,0.012100000,0.479900000,0.012700000,3,1,7,7,3,0.129600000,0.003800000,0.036600000,0.045300000,0.011900000,0.007500000,true,true,0.038500000,0.041400000,0.001200000,0.003500000,0.038800000,103,103,0
624,0,1,1920,1080,640,360,ultra-performance,0.669300000,0.018000000,0.176900000,0.003000000,0.252900000,0.024000000,0.116600000,0.619300000,0.152900000,2.034100000,1.364800000,2.032900000,0.001200000,0.003100000,0.017100000,0.009800000,0.146300000,0.002800000,0.051100000,0.002300000,0.197400000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.005900000,0.002500000,0.001200000,0.006900000,0.002600000,0.000600000,0.346500000,0.016300000,0.132200000,0.009700000,0.004800000,0.068400000,0.000000000,0.000000000,0.012700000,0.610300000,0.009000000,3,1,7,7,3,0.087800000,0.003700000,0.035000000,0.043200000,0.011300000,0.007500000,true,true,0.018300000,0.019200000,0.001500000,0.003400000,0.039600000,103,103,0
625,1,1,1920,1080,640,360,ultra-performance,0.542700000,0.015900000,0.181300000,0.002700000,0.241700000,0.023700000,0.112700000,0.547800000,0.149800000,1.819600000,1.276900000,1.818300000,0.001300000,0.003100000,0.017400000,0.009700000,0.150800000,0.002500000,0.050800000,0.002100000,0.186600000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004200000,0.002300000,0.001100000,0.006600000,0.002600000,0.000600000,0.334200000,0.013600000,0.076800000,0.008700000,0.004900000,0.071300000,0.000100000,0.000000000,0.012700000,0.539700000,0.008100000,3,1,7,7,3,0.083400000,0.003500000,0.033400000,0.040700000,0.010900000,0.006500000,true,true,0.017400000,0.018900000,0.001100000,0.003000000,0.037200000,103,103,0
626,2,1,1920,1080,640,360,ultra-performance,1.250700000,0.043500000,0.421400000,0.006200000,0.546900000,0.048100000,0.122200000,0.567500000,0.132600000,3.140500000,1.889800000,3.139100000,0.001400000,0.005800000,0.043200000,0.025900000,0.345600000,0.005800000,0.119300000,0.004100000,0.418900000,0.000000000,0.000000000,false,disabled,84,0,103,3,7,0.004300000,0.002600000,0.001000000,0.006500000,0.002700000,0.000700000,0.352700000,0.012600000,0.075800000,0.007200000,0.004600000,0.070600000,0.000000000,0.000000000,0.012700000,0.554000000,0.013500000,3,1,7,7,3,0.188900000,0.007500000,0.074900000,0.089100000,0.025300000,0.014800000,true,true,0.038200000,0.044300000,0.002600000,0.006000000,0.084400000,103,103,0
