frame_ordinal,frame_slot,config_revision,display_width,display_height,render_width,render_height,dlss_quality,wait_gpu_ms,frame_setup_ms,scene_ms,build_ms,compile_ms,prepare_ms,execute_ms,present_ms,total_ms,cpu_work_ms,classified_ms,unclassified_ms,scene_begin_upload_ms,scene_raster_extract_ms,scene_tlas_extract_ms,scene_bridge_ms,tlas_texture_collection_ms,post_scene_ms,graph_prelude_ms,ui_collect_ms,node_loop_ms,raster_packets,rt_packets,tlas_packets,submit_batches,record_tasks,node_build_0_ms,node_build_1_ms,node_build_2_ms,node_build_3_ms,node_build_4_ms,node_build_5_ms,as_recorded,as_available,as_cache_scan_ms,as_metadata_plan_ms,as_cpu_writes_ms,as_tlas_sizing_ms,as_graph_declare_ms,as_packets,as_instances,as_dirty_blas
600,0,1,1920,1080,640,360,ultra-performance,0.001600000,0.016200000,0.158100000,0.474400000,0.011400000,0.094000000,0.406300000,0.140200000,1.459200000,1.457600000,1.302200000,0.157000000,0.003200000,0.016000000,0.009800000,0.128900000,0.156100000,0.156300000,0.050500000,0.001800000,0.419400000,84,0,103,3,7,0.120100000,0.002900000,0.201100000,0.044600000,0.011300000,0.038900000,true,true,0.015300000,0.087600000,0.005600000,0.003000000,0.006000000,103,103,0
601,1,1,1920,1080,640,360,ultra-performance,1.341700000,0.017100000,0.161500000,0.416700000,0.010600000,0.088300000,0.573300000,0.140800000,2.905600000,1.563900000,2.750000000,0.155600000,0.002900000,0.015300000,0.008900000,0.134100000,0.154400000,0.154500000,0.049100000,0.002000000,0.364100000,84,0,103,3,7,0.119900000,0.003000000,0.163900000,0.037200000,0.009700000,0.030000000,true,true,0.014800000,0.087800000,0.005700000,0.003300000,0.006000000,103,103,0
602,2,1,1920,1080,640,360,ultra-performance,0.001600000,0.017500000,0.154100000,0.435200000,0.011100000,0.092800000,0.422600000,0.548600000,1.848100000,1.846500000,1.683500000,0.164600000,0.002800000,0.015300000,0.009200000,0.126400000,0.163800000,0.163900000,0.050000000,0.002200000,0.381400000,84,0,103,3,7,0.122700000,0.003100000,0.175000000,0.039100000,0.010100000,0.030900000,true,true,0.015900000,0.088100000,0.007000000,0.003200000,0.006000000,103,103,0
603,0,1,1920,1080,640,360,ultra-performance,1.703800000,0.059600000,0.469300000,0.490300000,0.014300000,0.102900000,0.461600000,0.153900000,3.710400000,2.006600000,3.455700000,0.254700000,0.009500000,0.047900000,0.027100000,0.383800000,0.252700000,0.252900000,0.052100000,0.002700000,0.433900000,84,0,103,3,7,0.160900000,0.003700000,0.177800000,0.047700000,0.010700000,0.032700000,true,true,0.019200000,0.118500000,0.008400000,0.003800000,0.007900000,103,103,0
604,1,1,1920,1080,640,360,ultra-performance,1.033900000,0.047900000,0.334600000,0.451900000,0.014000000,0.108400000,0.636400000,0.162400000,3.120600000,2.086700000,2.789500000,0.331100000,0.006700000,0.033600000,0.020400000,0.273200000,0.329400000,0.329700000,0.058400000,0.002600000,0.389100000,84,0,103,3,7,0.125700000,0.003300000,0.172800000,0.045000000,0.010100000,0.031700000,true,true,0.016800000,0.089300000,0.006900000,0.003600000,0.006500000,103,103,0
605,2,1,1920,1080,640,360,ultra-performance,0.001600000,0.024200000,0.157000000,0.438200000,0.013600000,0.098400000,0.515000000,0.132200000,1.537400000,1.535800000,1.380200000,0.157200000,0.002900000,0.015700000,0.009700000,0.128300000,0.155800000,0.155900000,0.049500000,0.001900000,0.385300000,84,0,103,3,7,0.122700000,0.003100000,0.177100000,0.040600000,0.009700000,0.031600000,true,true,0.014800000,0.089000000,0.006800000,0.003200000,0.006500000,103,103,0
606,0,1,1920,1080,640,360,ultra-performance,0.412700000,0.023100000,0.164900000,0.438500000,0.013300000,0.097800000,0.528400000,0.163500000,2.000000000,1.587300000,1.842200000,0.157800000,0.003100000,0.022000000,0.009600000,0.129900000,0.156400000,0.156500000,0.050300000,0.002200000,0.384400000,84,0,103,3,7,0.122800000,0.003200000,0.171400000,0.044200000,0.011300000,0.031200000,true,true,0.015300000,0.089000000,0.006300000,0.003400000,0.006300000,103,103,0
607,1,1,1920,1080,640,360,ultra-performance,0.001600000,0.024100000,0.158500000,0.441400000,0.012500000,0.097400000,0.490100000,0.152800000,1.536100000,1.534500000,1.378400000,0.157700000,0.002900000,0.015600000,0.010200000,0.129400000,0.156100000,0.156400000,0.050000000,0.001900000,0.387900000,84,0,103,3,7,0.132000000,0.003300000,0.168900000,0.041400000,0.010000000,0.031800000,true,true,0.015100000,0.098400000,0.006500000,0.003400000,0.006200000,103,103,0
608,2,1,1920,1080,640,360,ultra-performance,1.489500000,0.048100000,0.457900000,0.435600000,0.013400000,0.099400000,0.569100000,0.140600000,3.689500000,2.200000000,3.253600000,0.435900000,0.008500000,0.044700000,0.026000000,0.377700000,0.434600000,0.434900000,0.051200000,0.001900000,0.380900000,84,0,103,3,7,0.122400000,0.003200000,0.169100000,0.044000000,0.010200000,0.031500000,true,true,0.016100000,0.087800000,0.006300000,0.003200000,0.006300000,103,103,0
609,0,1,1920,1080,640,360,ultra-performance,0.001500000,0.019800000,0.158200000,0.436100000,0.012400000,0.097400000,0.403500000,0.130800000,1.425400000,1.423900000,1.259700000,0.165700000,0.003000000,0.015900000,0.009600000,0.129300000,0.164800000,0.164900000,0.056300000,0.002000000,0.376200000,84,0,103,3,7,0.121100000,0.003100000,0.169500000,0.040200000,0.011000000,0.031000000,true,true,0.015000000,0.088800000,0.006000000,0.002800000,0.006100000,103,103,0
